ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,medicamento,dosagem,periodo
10,2020-04-24,1100000010,12345670010,Fernando,"À Nutricionista,  Encaminho o paciente supracitado, portardor de HAS, DLP e obesidade 1 para avaliação e seguimento.  Grata, ",,,
11,2020-05-11,1100000011,12345670011,Cristina," USO NASAL:  SORO FISIOLÓGICO 0,9%  FAZER LAVAGEM NASAL SEMPRE QUE NECESSÁRIO COM DISPOSITIVO ADEQUADO (SERINGA, NASOAR ENTRE OUTROS)  USO INALATÓRIO:  SORO FISIOLÓGICO 0,9% ---------------------- FAZER INALAÇÃO COM 5 ML, 3 VEZES AO DIA, POR 5 DIAS   ","SORO FISIOLÓGICO 0,9%","5 ml, 3 vezes ao dia",5 dias
12,2020-11-25,1100000012,12345670012,Rafael,USO ORAL: 1. PREDSIM 40MG TOMAR 01 CP AO DIA POR 5 DIAS 2. PROFENID 100MG TOMAR 01 CP DE 12/12H POR 5 DIAS 3. ACETILCISTEINA 600MG TOMAR 01 SACHE AO DIA POR 5-7 DIAS 4. DIPIRONA 1G TOMAR 01 CP DE 6/6H SE FEBRE ,,,
13,2020-08-21,1100000013,12345670013,Patrícia,1- LISADOR DIP 1GR------------------------------------------1CX         TOMAR 1 CP VO DE 6/6 HS SE FEBRE OU DOR  ,LISADOR DIP 1GR,1 CP,de 6/6 HS se febre ou dor
14,2020-12-22,1100000014,12345670014,Vinícius,"Peso: 8kg Uso oral 1- Paracetamol gotas Dar 8 gotas via oral 6/6 horas se dor ou febre Uso inalatorio 2- Inalação com Soro Fisiologico 0,9%----- 2ml                        Clenil A 400mcg-------------- Meio flaconete 1x a noite, 5 dias Uso Nasal 3- Soro fisiologico 0,9% Llimpeza nasal ",Paracetamol,8 gotas,6/6 horas
15,2020-08-24,1100000015,12345670015,Camila,Uso oral  1- Tolrest 25mg ----------- 14 comp  Tomar um comp via oral por 14 dias e apos aumentar para 50mg  2- Tolrest 50mg ------------- 60 comp  Tomar um comp via oral cedo até o retorno  ,Tolrest,25mg,14 dias
16,2020-12-30,1100000016,12345670016,Rodrigo,"USO ORAL: 1) BUSCOPAM COMPOSTO --------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE DOR ABDOMINAL.  2) DRAMIN B6 ---------------------------------------- 01 COMP ATE DE 8 EM 8 HORAS, SE NAUSEAS OU VOMITOS.  3) SACCHAROMYCES BOULARDII 200MG ----- 01 COMP DE 12 EM 12 HORAS, POR 5 DIAS.  4) ENTEROGERMINA ---------------------- INGERIR 01 FLACONETE AO DIA.  ",,,
17,2020-12-06,1100000017,12345670017,Tatiana,"uso  oral  continuo synthroid  137-------------------- tomar 1 cp por  via  oral cedo , em jejum , com agua e  aguardar 40 min para desjejum  ",synthroid,1 cp por via oral,continuo
18,2020-05-09,1100000018,12345670018,Gustavo,uso interno: 1) clavulin BD 400mg/5ml Dar 5 ml via oral de 12 em 12 horas por 10 dias  2) prelone 3mg/ml Dar 6ml 1x dia pr via oral por 5 dias  3) culturelle junior  Dar 1 cp mastigavel via oral 1x dia por 10 dias  ,,,
19,2020-04-23,1100000019,12345670019,Isabela, uso oral  Mioflex A ..................... 1 cx. tomar 1 cp. VO 8/8 hs. Miosan caf 5 mg ........... 1 cx. tomar 1 cp. VO 12/12 hs. ,Mioflex A,1 cp.,8/8 hs.
