ID,DATA,TEL,CPF,SOLICITANTE,DS_RECEITA,Solicitação
464,2020-05-24,1100000464,12345670464,Pedro,"SOLICITO TC DE COLUNA TORACICA ( PACIENTE EM INVESTIGAÇÃOD E OSTEOPENIA COM RX DE COLUNA SUGESTIVO DE FRATURA DE T6, SOLICITO EXAME PARA CONFIRMAÇÃO) ",RX
516,2020-08-01,1100000516,12345670516,Rodrigo,PACIENTE REFERE QUEDA DE MOTO HA CERCA DE 1 HORA RELATA DOR EM REGIÃO DE HEMITORAX ESQUERDO SOLICITO RX ARCOS COSTAIS ,RX
538,2020-12-03,1100000538,12345670538,Gustavo, TOMOGRAFIA COMPUTADORIZADA SEIOS FACE   ( 41001036) HD: OBSTRUÇÃO NASAL  ,TOMOGRAFIA COMPUTADORIZADA
563,2020-10-22,1100000563,12345670563,Ana,SOLICITO EXAMES:                                                               CID 10: Z30.2 ELETROCARDIOGRAMA (ECG) ¿ 12 DERIVAÇÕES  RAIO-X TÓRAX PA + P ,RAIO-X
572,2020-03-01,1100000572,12345670572,Rafael, OBSERVAÇÃO: PACIENTE EM CONSULTA AMBULATORIAL - FAVOR PRIORIZAR SOLICITO PARA PACIENTE ACIMA: .................................................  RX PUNHO ESQUERDO .................................................  AP + PA + PERFIL  (SEM IMOBILIZAÇÃO) JUSTIFICATIVA: CONTROLE RADIOGRÁFICO PÓS OPERATÓRIO CID 10: Z988 ,RX
595,2020-10-17,1100000595,12345670595,Camila,solicito:  - hemograma  (coletar terça as 06/07 hrs) ,hemograma
622,2020-12-20,1100000622,12345670622,José,SOLICITO: 1- USG CERVICAL  HD- ABAULAMENTO EM ANGULO DA MANDIBULA A DIREITA  ,USG
628,2020-12-13,1100000628,12345670628,Lucas,"Solicitação médica Solicito seguinte exames laboratoriais para paciente acima, com quadro de febre há 1 dia (até 39,8), cefaleia, dor abdominal, tosse. Hemograma NS1 RX torax 2p Grata! ",RX
649,2020-01-20,1100000649,12345670649,Juliana,Solicito Rx pé esquerdo Ap + obliquo para a paciente acima. hd - ft pé CID S92 Grata ,Rx
651,2020-08-24,1100000651,12345670651,Cristina,			SOLICITO 	RX  JOELHO DIR 		AP COM CARGA 					PERFIL 					AXIAL DIR E ESQ ,RX
675,2020-03-21,1100000675,12345670675,Camila,Solicito: - USG região inguinal direita HD: Dor local a/e ,USG
706,2020-06-15,1100000706,12345670706,Carlos,Á RESSONANCIA MAGNETICA  SOLICITO A   PACIENTE ACIMA COM TRAUMA NO JOELHO ESQUERDO                                                          RNM JOELHO ESQUERDO  ,RESSONANCIA MAGNETICA
737,2020-09-01,1100000737,12345670737,Tatiana," PACIENTE EM INVESTIGAÇÃO PARA DISFAGIA, COM IMPACTAÇÃO DE ALIMENTOS PREVIA ( SENDO NECESSARIA ENDOSCOPIA PARA REMOÇÃO DE ALIMENTO). SOLICITO POR GENTILIZA A RTEALIZAÇÃO DE VIDEO DEGLUTOGRAMA PARA ELUCIDAÇÃO DIAGNOSTICA. GRATA  TUSS 40806022 - RX - Videodeglutograma. CID R13 ",RX
744,2020-05-01,1100000744,12345670744,Pedro,SOLICITO RESSONANCIA DE CRANEO COM SEDAÇÃO PARA INVESTIGAR INCAPACIDADE FUNCIONAL E AGITAÇÃO . F79.1  ,RESSONANCIA
766,2020-07-09,1100000766,12345670766,Carlos,SOLICITO RX OD PE D AP + P COM CARGA ,RX
796,2020-04-22,1100000796,12345670796,Rodrigo,Solicito hemograma U Cr TGO TGP FALc GGT hb glic  ,hemograma
802,2020-10-15,1100000802,12345670802,José,Á ULTRASSONOGRAFIA  SOLICITO AO PACIENTE ACIMA  COM TRAUMA DO INDICADOR DIREITO                                                                ULTRASSONOGRAFIA DO INDICADOR DIREITO                                                        40901220 ,ULTRASSONOGRAFIA
835,2020-10-01,1100000835,12345670835,Camila,Solicito US obstetrico com doppler fetal  CID: Z35 ,doppler
901,2020-10-21,1100000901,12345670901,Maria,PACIENTE COM SINTOMAS CISTITE ASSOCIADO A DOR LOMBAR HA DIAS URINA1 COM HEMATURIA ACIMA DE 1 MILHAO  SOLICITO TC DE ABD TOTAL HD: URETEROLITIASE? PROSTATITE? ,TC
927,2020-05-10,1100000927,12345670927,Paula,SOLICITO - HEMOGRAMA COMPLETO COLETAR EM 03/04 ,HEMOGRAMA
991,2020-09-09,1100000991,12345670991,Cristina,"SOLICITO RX DE ABDOMEN  AGUDO, HD DOR ABDOMINAL ",RX
992,2020-02-02,1100000992,12345670992,Rafael," OBSERVAÇÃO: PACIENTE EM CONSULTA AMBULATORIAL - FAVOR PRIORIZAR    SOLICITO PARA PACIENTE ACIMA: .................................................  RX DO 2°, 3° E 5° DEDOS DA MÃO DIREITA  AP + PERFIL ABSOLUTO   (SEM IMOBILIZAÇÃO) JUSTIFICATIVA: CONTROLE RADIOGRÁFICO PÓS OPERATÓRIO CID 10: Z988 ",RX
1034,2020-12-03,1100001034,12345671034,Vinícius,Solicito: 1. Hemograma completo - controle de Plaquetas - Dengue 			coletar dia 25/03/2024 ,Hemograma
1056,2020-12-23,1100001056,12345671056,Rodrigo,SOLICITO US OBSTETRICO COM DOPPLER PARA GESTANTE ACIMA OBS: 28 SEMANAS ,DOPPLER
1080,2020-05-07,1100001080,12345671080,João,SOLICITO RX DO TORNOZELO D AP + P  ,RX
1096,2020-08-07,1100001096,12345671096,Rodrigo,SOLICITO COLETA HEMOGRAMA EM 15/03/2024 ,HEMOGRAMA
1137,2020-01-06,1100001137,12345671137,Tatiana, Solicito - RX pe E   2 pos   hd - frat 5 metatarso  ,RX
1138,2020-07-12,1100001138,12345671138,Gustavo,Rx 1- LACOTEM 50MG -------------------USO CONT - 60 CPS/MÊS TOMAR 01 CP VO DE 12/12H ,Rx
1146,2020-12-04,1100001146,12345671146,Carlos,Solicito US Doppler de MSD  Just Tromboflebite? ,Doppler
1152,2020-08-26,1100001152,12345671152,Rafael,PACIENTE REFERE DOR EM ARCOS COSTAIS DIREITO HA 7 DIAS RELATA DOR LOCAL SOLICITO RX ARCOS COSTAIS ,RX
1156,2020-12-12,1100001156,12345671156,Rodrigo,SOLICITO COLETA DE NOVO HEMOGRAMA COMPLETO DE URGENCIA NO DIA 05/04/2024 PELA MANHÃ EM LABORATÓRIO DE ESCOLHA CID-10 A90 ,HEMOGRAMA
1157,2020-12-30,1100001157,12345671157,Tatiana,SOLICITO ULTRASSONOGRAFIA DE MÃO ESQUERDA. AVALIAÇÃO DE POLIAS DO TERCEIRO QUIRODÁCTILO APÓS TRAUMA GRATO ,ULTRASSONOGRAFIA
1159,2020-11-21,1100001159,12345671159,Isabela,Solicito  CT - tomografia joelho D  RX panoramica MMII  cid M17.0 ,RX
1160,2020-07-26,1100001160,12345671160,João,SOLICITO: - HMG - FERRO SERICO - FERRITINA - TRANSFERRINA - VITAMINA B12 - VITAMINA D - TGO - TGP - UREIA - CREATININA - SODIO - POTASSIO - MAGNESIO - TSH - T4 LIVRE INDICAÇÃO: INAPETÊNCIA ,HMG
1166,2020-09-04,1100001166,12345671166,Carlos,: OBSERVAÇÃO: PACIENTE EM CONSULTA AMBULATORIAL - FAVOR PRIORIZAR .................................................   : SOLICITO PARA PACIENTE ACIMA: .................................................  : RX MÃO ESQUERDA E DIREITA .................................................  AP E OBLIQUA JUSTIFICATIVA: CONTROLE RADIOGRÁFICO DE FRATURA CID 10: S62 REALIZAR EM JUNHO 2024 ,RX
1168,2020-10-22,1100001168,12345671168,Lucas,"SOLICITO RX DE SEIOS DA FACE 3P, HD: SINUSOPATIA ",RX
1174,2020-01-18,1100001174,12345671174,Vinícius,"PACIENTE ACIMA PASSOU EM ATENDIMENTO POR QUEIXA DE DISPNEIA AOS MODERADOS ESFORÇOS, ORTOPNEIA E DPN.  REFERE AINDA TOSSE PRODUTIVA COM INICIO HA UMA SEMANA  AO EXAME COM TAQUIPNEIA LEVE, ESTERTOR FINO BIBASAL, RCI, TURJENCIA JUGULAR DISCRETA. EXTREMIDADES QUENTES E BEM PERFUNDIDAS ECG EM RITMO DE FA, COM ESV ISOLADAS  LABORATORIAL, COM FUNÇÃO RENAL ESTAVEL, ANEMIA, COM RDW AUMENTADO, PCR: 4,0 RX DE TORAX COM POUCO SINAL DE CONGESTÃO COM FORMAÇÃO INICIAL DE CONSOLIDAÇÃO  CD: DEVIDO QUEIXA CLINICA DE TOSSE E PIORA DE SINTOMAS DE IC, OPTO POR INICIAR ANTIBIOTICO VO, AUMENTO DOSE DE FUROSEMIDA POR UMA SEMANA E ORIENTO PACIENTE REDUÇÃO GRADUAL, ATE RETORNO  À DOSE ANTERIOR, CASO SINTOMAS MELHOREM. AUMENTO DOSE DE ENALAPRIL PARA 10 MG 12/12H E ORIENTO QUANTO A SINTOMAS DE HIPOTENSÃO.  ORIENTO SEGUIMENTO AMBULATORIAL E RETORNO AO PS EM CASO SINAIS DE ALARME  ",RX
1178,2020-12-11,1100001178,12345671178,Gustavo,Solicito:  Hemograma completo  HD: Acompanhamento de dengue.  Coletar sábado! Laudo com urgência.  ,Hemograma
1182,2020-08-14,1100001182,12345671182,José,PACIENTE REFERE TER BATIDO PORTA DO CARRO EM POLEGA DIREITO HA 3 DIAS RELATA DOR LOCAL SOLICITO RX MAO DIREITA ,RX
1195,2020-01-08,1100001195,12345671195,Camila,"Relatório médico Paciente com o diagnóstico de adenocarcinoma de próstata com recidiva em linfonodos pélvicos (CID10 C61). Realizou tratamento inicial com prostatectomia em 2004, evoluindo com recidiva bioquímica em 2015 e recorrência linfonodal em dezembro/2019. Iniciou tratamento com firmagon 80 mg mensal + abiraterona 1000 mg/dia com resposta parcial e toxicidade manejável no momento. Realizou RM de abdome com resposta parcial em novembro/2023 e PSA mantendo em queda 2,0. Diante da resposta ao tratamento tem indicação de prosseguir com mesmo esquema terapêutico. Atenciosamente,   ",RM
1196,2020-02-17,1100001196,12345671196,Rodrigo,"SOLICITO  	HEMOGRAMA 	NS1 SUSPEITA: CID A90  SE O PLANO NÃO LIBERAR, LIGAR PARA O MESMO E PERGUNTAR SOBRE TELEMEDICINA, MARCAR CONSULTA E PEDIR PARA TRANSCREVEREM ",HEMOGRAMA
1200,2020-01-30,1100001200,12345671200,João,SOLICITAÇÃO DE EXAMES: Realizar exames em 08/04 em carater de urgencia - Hemograma - CPK - AST -ALT -Cr -U HD: Dengue ,Hemograma
1205,2020-08-21,1100001205,12345671205,Mariana,SOLICITO HEMOGRAMA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS TGO / TGP CREATININA / UREIA 25-OH-VITAMINA D FSH / ESTRADIOL HIV 1/2 / VDRL HBSAG / ANTI-HCV ,HEMOGRAMA
1206,2020-07-10,1100001206,12345671206,Carlos,SOLICITO  HMG  NS1  ,HMG
1212,2020-04-15,1100001212,12345671212,Rafael,Solicito: 1. Hemograma Completo - controle de Dengue 		coletar dia 15/04/2024 ,Hemograma
1220,2020-09-22,1100001220,12345671220,João,Solicito: 1 - Hemograma com plaquetas Coletar exame dia 15/04/2024 ,Hemograma
1222,2020-09-07,1100001222,12345671222,José," SOLICITO EXAMES: - UROFLUXOMETRIA LIVRE * USG próstata 50g, mediano 4mm, RPM 40ml CID: N40 ",USG
1226,2020-02-25,1100001226,12345671226,Carlos,"ULTRASSONOGRAFIA COM DOPPLER PULSADO E EM CORES DO SISTEMA VENOSO PROFUNDO DO MEMBRO INFERIOR ESQUERDO Foram avaliadas a veia ilíaca externa (nas suas porções distais), veia femoral comum, veia femoral superficial, veia femoral profunda (nas suas porções proximais), veias tibial anterior, posterior e veia poplítea, em secções longitudinais e transversais. Observam-se veias de paredes regulares, compressíveis, de morfologia e calibre preservados. Não há evidência de trombos parietais. Ao estudo Dupplex demonstrou-se vasos pérvios, com fluxo fásico, modulado pela respiração, com respostas normais às manobras de Valsalva e compressão distal. Impressão Diagnóstica: ·	- Não há sinais de trombose venosa profunda nos segmentos avaliados. ",ULTRASSONOGRAFIA
1229,2020-03-18,1100001229,12345671229,Juliana, 	SOLICITO RESSONANCIA MAGNETICA COLUNA TORACICA 	SOLICITO RESSONANCIA MAGNETICA COLUNA LOMBAR 	METT OSSEAS 	 	CID 10= C40 ,RESSONANCIA MAGNETICA
1230,2020-07-21,1100001230,12345671230,Fernando,SOLICITO  TC DE TORAX ,TC
1233,2020-10-19,1100001233,12345671233,Patrícia,Solicito  hmg U Cr Tgo TGP hb glic tsh t4l ca 15.3 CEA falc vit d ca i ,hmg
1234,2020-02-07,1100001234,12345671234,Vinícius,SOLICITO: - RESSONÂNCIA MAGNÉTICA DE COLUNA LOMBAR SEM CONTRASTE CID 10 - M549 ,RESSONÂNCIA MAGNÉTICA
1236,2020-12-26,1100001236,12345671236,Rodrigo,"SOLICITO: 	HEMOGRAMA 	NS1 SUSPEITA: CID A90  SE O PLANO NÃO LIBERAR, LIGAR PARA O MESMO E PERGUNTAR SOBRE TELEMEDICINA ",HEMOGRAMA
1240,2020-10-18,1100001240,12345671240,João,. Doppler da arteria femoral direita HD? Pseudoaneurisma de femoral direita pos puncao? ,Doppler
1242,2020-11-18,1100001242,12345671242,José,SOLICITO RESSONANCIA DE JOELHO ESQUERDO CIDS800 COD 41101316 ,RESSONANCIA
1244,2020-07-26,1100001244,12345671244,Pedro,"SOLICITO RX DE MÃO ESQUERDA, HD: TRAUMA ",RX
1252,2020-09-07,1100001252,12345671252,Rafael,"PACIENTE COM QUADRO DE FEBRE, MIALGIA, CEFALEIA,  ASTENIA, DIARREIA HÁ 01 DIA. NEGA DEMAIS SINTOMAS   SOLICITO: 	HEMOGRAMA 	NS1 SUSPEITA:  CID A90 SE PLANO NÃO AUTORIZAR, LIGAR PARA O MESMO E PERGUNTAR SOBRE TELEMEDICINA E AGENDAR CONSULTA ONLINE PARA SOLICITAREM O EXAME ",HEMOGRAMA
1253,2020-01-11,1100001253,12345671253,Patrícia,SOLICITO:  - HEMOGRAMA  ,HEMOGRAMA
1256,2020-08-31,1100001256,12345671256,Rodrigo,solicito HEMOGRAMA COAGULOGRAMA SODIO POTASSIO UREIA  CREATININA TGO TGP    ,HEMOGRAMA
1259,2020-10-06,1100001259,12345671259,Isabela,Solicito 1) Ultrassom doppler arterial de membros inferiores (direito e esquerdo) 2) Ultrassom doppler venoso de membros inferiores ( direito e esquerdo) CID M25.5 ,doppler
1264,2020-11-28,1100001264,12345671264,Pedro,SOLICITO RESSONANCIA COLUNA CERVICAL SEM CONSTRASTE GRATO CID M542 ,RESSONANCIA
1265,2020-01-21,1100001265,12345671265,Mariana,"ULTRASSONOGRAFIA DO ABDOME TOTAL Fígado de dimensões normais, contornos regulares e ecogenicidade homogênea. Vesícula biliar de aspecto preservado. Vias biliares com calibre habitual. Baço e pâncreas sem alterações. Aorta abdominal com trajeto e calibre normais. Rins com dimensões e espessura do parênquima normais. Não há hidronefrose. Bexiga pouco repleta com conteúdo líquido homogêneo.  Impressão Diagnóstica: Exame sem anormalidades ao método.  ",ULTRASSONOGRAFIA
1268,2020-10-06,1100001268,12345671268,Lucas,SOLICITO : - HMG                   - COLESTEROL TOTAL E FRAÇÕES                   - TRIGLICERIDES                  - GLIC JEJUM                  - HB GLICADA                   - TSH ,HMG
1269,2020-06-10,1100001269,12345671269,Juliana,Solicito: Com urgência 1 - Hemograma completo HD: Acompanhamento de dengue.  ,Hemograma
1271,2020-03-28,1100001271,12345671271,Cristina,Solicito: - Hemograma completo ,Hemograma
1272,2020-10-01,1100001272,12345671272,Rafael,SOLICITO - ULTRASSOM OBSTETRICO COM DOPPLER - CARDIOTOCOGRAFIA ANTEPARTO CID: Z35 GRATA ,DOPPLER
1273,2020-02-05,1100001273,12345671273,Patrícia,SOLICITO HEMOGRAMA FERRITINA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS TGO / TGP CREATININA / UREIA 25-OH-VITAMINA D FSH / ESTRADIOL HIV 1/2 / VDRL HBSAG / ANTI-HCV HD: CLIMATÉRIO  ,HEMOGRAMA
1275,2020-01-10,1100001275,12345671275,Camila,RESSONANCIA MAGNETICA DO CRANEO ( 41101014)  MOTIVO : DECLINIO COGNITIVO CURTO ESPAÇO DE TEMPO  ,RESSONANCIA MAGNETICA
1281,2020-06-24,1100001281,12345671281,Maria,Tc de coluna lombar  Hd: Lombalgia mecanica a/e  ,Tc
1285,2020-03-05,1100001285,12345671285,Mariana,"paciente com historia de aumento volume e hiperemia difusa msd ha 1 dia. nega dor. refere que h 3 anos passou ,marcapassao pela regiao subclavia direita  sem dor , pulsos palpaveis  usg doppler com ausencia de fluxo subclavia direita . recomendado seguimento investigacao  gd: trombose subclavia direita + cefalica direita cd: solicito transferencia ao hospital referencia para avaliaqcao vascular e seguimento investigacao do caso  solicito remocao basica ",usg
1286,2020-05-27,1100001286,12345671286,Carlos,SOLICITO -HEMOGRAMA -DENGUE NS1. COLHER EM 14/02/2024 JUSTIFICATIVA: QUADRO SUSPEITO DE DENGUE. ,HEMOGRAMA
1291,2020-01-18,1100001291,12345671291,Cristina,Solicito: - Solicito ressonância de abdome total Carcinoma células claras de ovário. Realizou ooforectomia esquerda. Exame para estadiamento CID10 C56 ,ressonância
1292,2020-06-08,1100001292,12345671292,Rafael,SOLICITO HEMOGRAMA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS HIV 1/2 / VDRL HBSAG / ANTI-HCV ,HEMOGRAMA
1293,2020-08-27,1100001293,12345671293,Patrícia,SOLICITO RX DE TORAX AP E PERFIL ,RX
1294,2020-06-09,1100001294,12345671294,Vinícius,SOLICITO USG TRANSVAGINAL USG MAMAS HD: DISMENORREIA ,USG
1298,2020-01-24,1100001298,12345671298,Gustavo,TOMOGRAFIA COMPUTADORIZADA DE CRÂNIO    Técnica: realizadas sequências multislice sem contraste.  Relatório:  Calota craniana de aspecto normal.  Parênquima encefálico com morfologia e densidade preservada.  Espaços liquóricos subaracnóideos de aspecto habitual.  Sistema ventricular de dimensões e morfologia preservadas.  Não se evidenciam sinais de hemorragia aguda intra ou extra-axial.  Impressão diagnóstica:  Estruturas encefálicas sem anormalidades.  ,TOMOGRAFIA COMPUTADORIZADA
1303,2020-06-07,1100001303,12345671303,Ana,SOLICITO : HMG COM CONTAGEM DE PLAQUETAS ,HMG
1305,2020-03-06,1100001305,12345671305,Mariana,SOLICITO RX DOS PES BILATERAL AP + P COM CARGA  RX DO TORNOZELO BILATERAL AP + P COM CARGA  ,RX
1308,2020-05-09,1100001308,12345671308,Lucas,SOLICITO: ULTRASSOM OBSTÉTRICO COM DOPPLER (40901246) JUSTIFICATIVA: GESTANTE 36sem1d +  DMG com insulina ,DOPPLER
1310,2020-12-03,1100001310,12345671310,Fernando,Solicito Hemograma PSA Total e livre Sangue oculto em fezes grata ,Hemograma
1312,2020-08-14,1100001312,12345671312,Rafael,SOLICITO - HEMOGRAMA COMPLETO COLETAR EM 18/04   ,HEMOGRAMA
1313,2020-06-19,1100001313,12345671313,Patrícia,SOLICITO  RM DE PE ESQUERDO (SINOVITE?) ,RM
1320,2020-12-20,1100001320,12345671320,João,Solicito US obstetrico + doppler fetal CID z35 ,doppler
1321,2020-07-31,1100001321,12345671321,Maria,SOLICITO: 	HEMOGRAMA SUSPEITA: CID A90  ,HEMOGRAMA
1322,2020-03-31,1100001322,12345671322,José,SOLICITO HEMOGRAMA GLICEMIA JEJUM HEMOGLOBINA GLICADA TSH / T4 LIVRE COLESTEROL TOTAL E FRAÇÕES TRIGLICERÍDEOS TGO / TGP CREATININA / UREIA 25-OH-VITAMINA D FSH  HIV 1/2 / VDRL HBSAG / ANTI-HCV ,HEMOGRAMA
1326,2020-12-04,1100001326,12345671326,Carlos,"RELATÓRIO MÉDICO SOLICITAÇÃO DE EXAME URGENTE PACIENTE COM ADENOCARCINOMA DE CÓLON TXNXMX, COM NÓDULOS PULMONARES DUVIDOSOS EM TC TÓRAX. TEM INDICAÇÃO DE REALIZAR: - PETCT (TUSS 40708128) - MOTIVO: DEFINIR NÓDULOS PULMONARES (METÁSTASES?) CID C18.9 ",TC
